date,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2014-04-18,1614335377,885,332259,375.433898305085,,56163.1423728814,0.000001114611,,0.000001,,0.000004458444,,468.026186440678,15562.5089059084,36500,,15562.5089059084,,,,,,15562.508905908395,18428477.759906635489,15562.508905908395,4,28,,,
2014-04-19,1614335377,1356,641393,473.003687315634,,69769.4033923304,0.000001303353,,0.000001,,0.000014336883,,581.411694936087,23801.3951725352,22069.734802379,,23801.3951725352,,,,,,39363.90407844364,18428884.250749183219,39363.90407844364,11,74,,,
2014-04-20,1614335377,1641,659774,402.05606337599,,84092.5301645338,0.00000104617,,0.000001031781,,0.00000418468,,700.771084704449,28784.4066140768,15416.8288360685,,28784.4066140768,,,,,,68148.310692520452,18429376.246450780492,68148.310692520452,4,35,,,
2014-04-21,1614335377,1639,636743,388.494813910921,,117482.115314216,0.00000103333333333333,,0.000001,,0.000031,,979.017627618467,28704.2102629639,10817.515788564,,28704.2102629639,,,,,,96852.520955484386,18429868.238975408569,96852.520955484386,30,191,,,
2014-04-22,1614335377,1470,679633,462.33537414966,,238052.536054422,0.00000126476488461538,,0.0000010629755,,0.000065767774,,1983.77113378685,25691.3900291384,7652.24260046035,,25691.3900291384,,,,,,122543.910984622836,18430308.975723828641,122543.910984622836,52,348,,,
2014-04-23,1614335377,1509,854872,566.515573227303,,255662.599072233,0.00000131519370967742,,0.000001,,0.000040771005,,2130.52165893528,26319.9130692,6453.39344956274,,26319.9130692,,,,,,148863.824053822876,18430760.836067507598,148863.824053822876,31,192,,,
2014-04-24,1614335378,1445,600547,415.603460207612,,273815.853979239,0.00000135347025,,0.0000011127085,,0.000016241643,,2281.79878316032,25198.187129512,5283.94348643057,,25198.187129512,,,,,,174062.011183334894,18431194.635650439196,174062.011183334894,12,96,,,
2014-04-25,1614335378,1449,1928254,1330.74810213941,,302515.096618357,0.00000117239124050633,,0.000001,,0.000092618908,,2520.95913848631,24884.4868378699,4565.4674931018,,24884.4868378699,,,,,,198946.498021204794,18431623.025542233804,198946.498021204794,79,594,,,
2014-04-26,1614335378,1540,920395,597.659090909091,,332938.176623377,0.00000138450319047619,,0.000001423198,,0.000029074567,,2774.48480519481,26758.324800306,4327.23963538668,,26758.324800306,,,,,,225704.822821510768,18432084.649185252967,225704.822821510768,21,155,,,
2014-04-27,1614335378,1533,1849742,1206.61578604044,,424868.539465101,0.00000121494309836066,,0.000001,,0.000074111529,,3540.57116220918,26382.7361274698,3819.98172645855,,26382.7361274698,,,,,,252087.558948980544,18432540.757513510306,252087.558948980544,61,462,,,
2014-04-28,1614335378,1440,4212750,2925.52083333333,,521936.945138889,0.00000117701290217391,,0.000001,,0.000216570374,,4349.47454282407,24336.6838257863,3213.49875367113,,24336.6838257863,,,,,,276424.242774766871,18432961.80309810609,276424.242774766871,184,1330,,,
2014-04-29,1614335378,1522,1862334,1223.60972404731,,631001.997371879,0.00000107261316129032,,0.000001,,0.000066502016,,5258.34997809899,26118.1745456913,3151.007317787,,26118.1745456913,,,,,,302542.417320458147,18433414.297829981245,302542.417320458147,62,477,,,
2014-04-30,1614335378,1414,814140,575.770862800566,,603804.636492221,0.0000011507978974359,,0.000001,,0.000044881118,,5031.70530410184,24407.1600689598,2724.76676565928,,24407.1600689598,,,,,,326949.577389417917,18433837.738542682301,326949.577389417917,39,316,,,
2014-05-01,1614335378,1445,926068,640.877508650519,,653168.906574394,0.00000134328529032258,,0.000001179078,,0.000041641844,,5443.07422145329,24914.67291904,2584.478419583,,24914.67291904,,,,,,351864.250308457954,18434270.272805215256,351864.250308457954,31,217,,,
2014-05-02,1614335378,1507,1451275,963.022561380226,,685280.300597213,0.00000125146187931034,,0.0000010392415,,0.000072584789,,5710.66917164344,25829.426174615,2496.13407391982,,25829.426174615,,,,,,377693.676483072976,18434719.928414246623,377693.676483072976,58,454,,,
2014-05-03,1614335378,1572,1227309,780.730916030534,,984977.91221374,0.00000126842822,,0.000001,,0.000063421411,,8208.14926844784,26972.8569803305,2432.89028958234,,26972.8569803305,,,,,,404666.533463403432,18435189.862485742372,404666.533463403432,50,368,,,
2014-05-04,1614335379,1581,3363456,2127.42314990512,,1232411.89247312,0.00000117584468548387,,0.000001,,0.000145804741,,10270.0991039427,26604.3648314412,2251.62263483803,,26604.3648314412,,,,,,431270.898294844634,18435653.765238681127,431270.898294844634,124,936,,,
2014-05-05,1614335379,1625,2236580,1376.35692307692,,2129424.23569231,0.00000129127743010753,,0.000001108276,,0.000120088801,,17745.2019641026,27695.3819504771,2202.51788574117,,27695.3819504771,,,,,,458966.280245321784,18436138.033280895123,458966.280245321784,93,723,,,
2014-05-06,1614335379,1737,3986191,2294.87104202648,,3528827.6378814,0.00000118826898895028,,0.000001,,0.000215076687,,29406.896982345,29218.9546337436,2184.60487522904,,29218.9546337436,,,,,,488185.234879065432,18436649.133715925968,488185.234879065432,181,1389,,,
2014-05-07,1614335379,1272,1530329,1203.08883647799,,7793570.86084906,0.00000127700476923077,,0.0000011286455,,0.000066404248,,64946.4238404088,21600.9221066173,1546.59683494245,,21600.9221066173,,,,,,509786.156985682766,18437027.735879628482,509786.156985682766,52,414,,,
2014-05-08,1614335379,1477,918663,621.979011509817,,5896073.6858497,0.00000127732840740741,,0.000001006106,,0.000034487867,,49133.9473820808,25209.135222739,1719.89071498504,,25209.135222739,,,,,,534995.292208421786,18437470.456625808996,534995.292208421786,27,202,,,
2014-05-09,1614335379,1548,2555204,1650.64857881137,,7012152.68087855,0.00000137775926923077,,0.000001331354,,0.000250752187,,58434.6056739879,25923.6843731651,1686.90046000413,,25923.6843731651,,,,,,560918.976581586859,18437926.06759102138,560918.976581586859,182,1366,,,
2014-05-10,1614335379,1505,2068910,1374.69102990033,,8317205.65847176,0.00000137171635416667,,0.000001344174,,0.000197527155,,69310.0471539313,25377.0578119569,1579.85481019762,,25377.0578119569,,,,,,586296.034393543779,18438372.411618872803,586296.034393543779,144,1109,,,
2014-05-11,1614335379,1458,2728369,1871.30932784636,,10448040.6748971,0.00000138321664925373,,0.000001310285,,0.000185351031,,87067.0056241427,24454.0394318794,1461.43648198515,,24454.0394318794,,,,,,610750.073825423152,18438803.41105783103,610750.073825423152,134,1001,,,
2014-05-12,1614335379,1436,5515018,3840.54178272981,,10550651.597493,0.00000135173388967972,,0.000001280109,,0.000379837223,,87922.0966457753,23880.5763741028,1373.46192999142,,23880.5763741028,,,,,,634630.650199525922,18439224.873959346876,634630.650199525922,281,2028,,,
2014-05-13,1614335379,1573,2520551,1602.38461538462,,11670863.0820089,0.00000124086733576642,,0.000001,,0.000169998825,,97257.1923500742,26342.7693005829,1454.68947934164,,26342.7693005829,,,,,,660973.419500108799,18439690.747491638367,660973.419500108799,137,1052,,,
2014-05-14,1614335380,1495,1642226,1098.47892976589,,17186615.6755853,0.00000130988122115385,,0.000001171653,,0.000136227647,,143221.797296544,25184.102209602,1339.66283479636,,25184.102209602,,,,,,686157.521709710759,18440136.188306744521,686157.521709710759,104,815,,,
2014-05-15,1614335380,1431,2524727,1764.30957372467,,16816771.9867226,0.00000125154747107438,,0.000001042706,,0.000151437244,,140139.766556021,23833.9730096041,1225.28230453587,,23833.9730096041,,,,,,709991.494719314854,18440558.915306584702,709991.494719314854,121,898,,,
2014-05-16,1614335380,1664,2329739,1400.08353365385,,23279618.1983173,0.00000125210445299145,,0.000001026486,,0.000146496221,,193996.818319311,27769.1173867591,1373.85049836596,,27769.1173867591,,,,,,737760.612106073927,18441051.804305903079,737760.612106073927,117,945,,,
2014-05-17,1614335380,1520,3415261,2246.88223684211,,36316493.7263158,0.00000257548939555556,,0.000001,,0.000579485114,,302637.447719298,25057.2646575519,1198.96267229727,,25057.2646575519,,,,,,762817.876763625841,18441497.222985984373,762817.876763625841,225,2964,,,
2014-05-18,1614335380,1399,1558154,1113.76268763402,,41926663.1115082,0.00000265087456140351,,0.000001268066,,0.0003021997,,349388.859262569,23455.7536221239,1088.85122700541,,23455.7536221239,,,,,,786273.630385749758,18441914.445443746888,786273.630385749758,114,5427,,,
2014-05-19,1614335380,1547,6339589,4097.98901098901,,45051814.1228184,0.00000132492332172131,,0.0000012340925,,0.000646562581,,375431.78435682,25285.879330724,1137.23588291617,,25285.879330724,,,,,,811559.509716473788,18442365.466505033477,811559.509716473788,488,10852,,,
2014-05-20,1614335380,1672,4557540,2725.8014354067,2255093.023393462897127186861,78873633.7188995,0.00000155240610217391,0.000004171646838808374719048970479,0.0000012554115,0.000003373558895475137916645,0.000714106807,0.00191895754585185613286161,657280.280990829,27634.2920977345,1201.92935098753,74259.24641161127789466199494,27634.2920977345,74259.24641161127789466199494,0.0054803554284044475,2.68721363112823,,,839193.801814208301,18442858.787717930032,839193.801814208301,460,20725,,,
2014-05-21,1614335380,1430,4089846,2860.03216783217,1397248.76394189938320559129,104812428.629371,0.00000135108433429395,0.000002187943961036508469363899244,0.000001289769,0.00000208864999989566737479,0.000468826264,0.00075921655447966738626024,873436.905244755,23625.7903197538,999.445717891308,38259.56969727822086224671296,23625.7903197538,38259.56969727822086224671296,0.0032785760414962006,1.61939851236591,,,862819.592133962061,18443281.164369856751,862819.592133962061,347,31040,,,
2014-05-22,1614335380,1401,6838373,4881.06566738044,1747013.993386060891833317085,97759566.8893647,0.00000137781999580713,0.000002718362148080741752313150946,0.000001330447,0.0000026248978646219637774,0.000657220138,0.0012966587446345118231796,814663.057411373,22666.109151886,934.30417096794,44718.9715276699574192521212,22666.109151886,44718.9715276699574192521212,0.003745047112507309,1.9729443297042,,,885485.701285848021,18443686.617793333722,885485.701285848021,477,78374,,,
2014-05-23,1614335380,1447,8499038,5873.55770559779,2629398.788309922286893798364,99181359.6247408,0.00000137894619667171,0.000003990299350719194766251208273,0.000001333303,0.00000385822021776718359862,0.000911483436,0.00263758787082538684343544,826511.330206174,23167.7956052239,930.634771652725,67041.36824500698985609017041,23167.7956052239,67041.36824500698985609017041,0.005525558051431899,2.89373099570554,,,908653.496891071901,18444102.193648392863,908653.496891071901,661,78937,,,
2014-05-24,1614335381,1599,12588343,7872.63477173233,3592692.518559809522460911871,130468591.314572,0.0000027702205331384,0.00001066006628031732447506821431,0.0000012798,0.000004924789439089945914,0.002842246267,0.01093722800360558106836881,1087238.26095476,24975.8373414384,976.423972059422,96109.34518795448031461838331,24975.8373414384,96109.34518795448031461838331,0.0072923192565751,3.84809301382243,,,933629.334232510338,18444550.193035590348,933629.334232510338,1026,118409,,,
2014-05-25,1614335381,1362,13957477,10247.7804698972,2981101.545733870732490649059,145871208.533774,0.00000159430908681023,0.000004983207607564004126228853953,0.0000011727075,0.00000366544039910057603115,0.002369143303,0.00740504650484010456796886,1215593.40444812,20133.3137160254,770.491434337005,62929.12892813019756212891355,20133.3137160254,62929.12892813019756212891355,0.005451864832261841,3.12562203200762,,,953762.647948535788,18444912.03806438093,953762.647948535788,1486,104052,,,
2014-05-26,1614335381,1490,17545340,11775.3959731544,2924998.545328986267495492837,140766538.173826,0.00000754635884987406,0.00002263907977276305386894050716,0.000001,0.00000300000042711206,0.014979522317,0.04493857334893463462984302,1173054.48478188,21236.7283497956,795.016492944259,63710.19411984959314159929494,21236.7283497956,63710.19411984959314159929494,0.005129538881940396,3.00000042711206,,,974999.376298331386,18445294.165769496224,974999.376298331386,1985,205734,,,
2014-05-27,1614335381,1511,18136422,12002.9265387161,2222126.363926881891647788113,164342431.020516,0.00146231388060653,0.003261507289568336974017727283,0.0000011720355,0.00000261407785125950795898,3.047462127184,6.79698119146039525106395584,1369520.2585043,21302.6208871674,780.431701008465,47512.81802890993501187543282,21302.6208871674,47512.81802890993501187543282,0.003886155141437756,2.23037429434476,,,996301.997185498774,18445678.246049790278,996301.997185498774,2084,151246,,,
2014-05-28,1614335381,1531,8688239,5674.87851077727,2315063.482716177059046375219,209742783.114304,0.00372208469181656,0.008442877182168847844440239231,0.005151329006,0.01168485989000311618618262,4.991315571726,11.32189830128840917189083702,1747856.52595254,24305.3341398957,869.232141370293,55132.26269834387931149814529,24305.3341398957,55132.26269834387931149814529,0.003916369653419059,2.26831947180877,,,1020607.33132539445,18446116.394718975813,1020607.33132539445,1341,72041,,,
