date,AdrActCnt,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2014-01-19,3692,1614335450,4143,1273796,307.45739802075803,0.0,0.0,0.0,0.27852864492189805,0.000545138888888889,0.0,0.0,0.0,0.628,0.0,0.0573637392846296,1814604.0,36500.0,0.0,1814604.0,0.0,1.95495424,0.0,0.0,0.0,0.0,0.0,1814604.0,1814604.0,1814604.0,1152,1832,928207.91770697,0.0,660.835007526316,0.0,100.0,0.0,1210649.73378821,0.0,0.0,0.0,0.0
2014-01-20,4522,1614335450,765,1200463,1569.23267973856,0.0,0.0,0.0,3.60700577588951,0.00040567359327574104,0.0,0.0,0.0,1.7375,0.0,0.13699927211277801,199092.0,3608.71650934401,0.0,199092.0,0.0,8.45208753,0.0,0.0,0.0,0.0,0.0,2013696.0,2013696.0,2013696.0,4283,8543,238248.360904,0.0,116.246631478797,0.0,27.64764867,0.0,993094.97272336,0.0,0.0,0.0,0.0
2014-01-21,2216,1614335450,454,621350,1368.61233480176,0.0,0.0,0.0,4.74250147210016,0.000846506024096385,0.0,0.001,0.0,1.7565,0.0,0.106840980291146,16710.0,300.390660784099,0.0,16710.0,0.0,79.00345155,0.0,0.0,0.0,0.0,0.0,2030406.0,2030406.0,2030406.0,2075,4150,25700.21891584,0.0,17.1320731096193,0.0,6.441909185,0.0,71098.10340492,0.0,0.0,0.0,0.0
2014-01-22,348,1614335450,99,97245,982.272727272727,0.0,0.0,0.0,6.1065039135296395,0.000839285714285714,0.0,0.001,0.0,0.235,0.0,0.0297489376237731,2079.0,37.3353308880508,0.0,2079.0,0.0,283.43658456,0.0,0.0,0.0,0.0,0.0,2032485.0,2032485.0,2032485.0,280,559,7170.8632927,0.0,16.4729491790698,0.0,2.04277781,0.0,9208.3785911,0.0,0.0,0.0,0.0
2014-01-23,349,1614335451,79,80174,1014.8607594936699,0.0,0.0,0.0,6.1065039135296395,0.000731481481481482,0.0,0.001,0.0,0.158,0.0,0.0236777258638194,9234.0,165.077074759063,0.0,9234.0,0.0,166.38994144,0.0,0.0,0.0,0.0,0.0,2041719.0,2041719.0,2041719.0,216,446,12270.68765275,0.0,30.648585189910303,0.0,5.86901657,0.0,13669.2689947,0.0,0.0,0.0,0.0
2014-01-24,267,1614335451,85,79580,936.235294117647,0.0,0.0,0.0,6.1065039135296395,0.000417582417582418,0.0,0.0,0.0,0.076,0.0,0.0254990893918056,10370.0,184.44862771546502,0.0,10370.0,0.0,152.34203091,0.0,0.0,0.0,0.0,0.0,2052089.0,2052089.0,2052089.0,182,363,13470.27466929,0.0,551.878685574904,0.0,7.13356837,0.0,200331.96286369,0.0,0.0,0.0,0.0
2014-01-25,340,1614335451,72,100921,1401.68055555556,0.0,0.0,0.0,6.1065039135296395,0.000355371900826446,0.0,0.0,0.0,0.086,0.0,0.0215528017478356,8784.0,155.572905268787,0.0,8784.0,0.0,113.29746697,0.0,0.0,0.0,0.0,0.0,2060873.0,2060873.0,2060873.0,242,482,18189.93005891,0.0,425.220525883216,0.0,11.01748911,0.0,204956.29347571,0.0,0.0,0.0,0.0
2014-01-26,308,1614335452,64,80173,1252.703125,0.0,0.0,0.0,5.96338272805628,0.000673151750972763,0.0,0.001,0.0,0.17300000000000001,0.0,0.0186689761618403,7830.0,138.151779158246,0.0,7830.0,0.0,176.30473788,0.0,0.0,0.0,0.0,0.0,2068703.0,2068703.0,2068703.0,257,514,11733.6778631,0.0,39.330354808190705,0.0,15.117444115,0.0,20215.80237141,0.0,0.0,0.0,0.0
2014-01-27,705,1614335452,327,241366,738.122324159021,0.0,0.0,0.0,1.5266259783824099,0.000481788079470199,0.0,0.0,0.0,0.29100000000000004,0.0,0.0247401879189815,47088.0,812.325981157874,0.0,47088.0,0.0,57.47104977,0.0,0.0,0.0,0.0,0.0,2115791.0,2115791.0,2115791.0,604,1208,36814.90086704,0.0,53.368676296432106,0.0,24.09265655,0.0,64469.36096609,0.0,0.0,0.0,0.0
2014-01-28,1450,1614335452,781,553686,708.944942381562,0.0,0.0,0.0,1.21723894486463,0.000436236391912908,0.0,0.0,0.0,0.561,0.0,0.0471825756313194,114063.0,1867.0726872701102,0.0,114063.0,0.0,18.13246804,0.0,0.0,0.0,0.0,0.0,2229854.0,2229854.0,2229854.0,1286,2565,122975.75792152,0.0,70.3449349002963,0.0,30.78628352,0.0,180434.75801926,0.0,0.0,0.0,0.0
2014-01-29,988,1614335453,428,338274,790.3598130841119,0.0,0.0,0.0,1.76358072846055,0.00047038327526132404,0.0,0.0,0.0,0.405,0.0,0.0374691117601042,61376.0,977.738594554017,0.0,61376.0,0.0,39.62927555,0.0,0.0,0.0,0.0,0.0,2291230.0,2291230.0,2291230.0,861,1722,57816.60068276,0.0,54.516640416341495,0.0,28.764497385,0.0,93877.65479694,0.0,0.0,0.0,0.0
2014-01-30,1779,1614335453,859,676400,787.427240977881,0.0,0.0,0.0,1.63862435595725,0.000508884803921569,0.0,0.0,0.0,0.8305,0.0,0.0698807669714236,123921.0,1872.80898792663,0.0,123921.0,0.0,9.95152034,0.0,0.0,0.0,0.0,0.0,2415151.0,2415151.0,2415151.0,1632,3263,242691.66087325,0.0,94.1563118111676,0.0,28.57114603,0.0,307232.04543984,0.0,0.0,0.0,0.0
2014-01-31,980,1614335453,345,311834,903.866666666667,0.0,0.0,0.0,3.1694726368084196,0.000591647331786543,0.0,0.001,0.0,0.51,0.0,0.0541998637624074,46920.0,695.5851395024761,0.0,46920.0,0.0,52.65728859,0.0,0.0,0.0,0.0,0.0,2462071.0,2462071.0,2462071.0,862,1724,46756.50923022,0.0,46.9951220541995,0.0,22.826374725,0.0,81019.59042144,0.0,0.0,0.0,0.0
2014-02-01,1170,1614335454,558,419739,752.220430107527,0.0,0.0,0.0,2.34128913438673,0.000501934235976789,0.0,0.0005,0.0,0.519,0.0,0.0647868849234491,78402.0,1126.43314847274,0.0,78402.0,0.0,32.45337156,0.0,0.0,0.0,0.0,0.0,2540473.0,2540473.0,2540473.0,1034,2068,78280.7109874,0.0,108.063820746842,0.0,27.269065345,0.0,223475.98130447,0.0,0.0,0.0,0.0
2014-02-02,1534,1614335454,821,518372,631.390986601705,0.0,0.0,0.0,2.47046833396469,0.000538971807628524,0.0,0.001,0.0,0.65,0.0,0.100723756012812,114550.0,1574.77920153611,0.0,114550.0,0.0,25.46857127,0.0,0.0,0.0,0.0,0.0,2655023.0,2655023.0,2655023.0,1206,2412,104247.03341187,0.0,95.18503333223879,0.0,24.612683405,0.0,229586.30039736,0.0,0.0,0.0,0.0
2014-02-03,1220,1614335454,776,641315,826.436855670103,0.0,0.0,0.0,4.4685332016137895,0.00058256880733945,0.0,0.0,0.0,0.635,0.0,0.172183645325579,100416.0,1330.16336053892,0.0,100416.0,0.0,7.97981805,0.0,0.0,0.0,0.0,0.0,2755439.0,2755439.0,2755439.0,1090,2179,345300.98086116,0.0,207.13863500061,0.0,31.05650517,0.0,451355.08566633,0.0,0.0,0.0,0.0
