date,AdrActCnt,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2013-12-08,6990,1611240186,2486,1707027,686.65607401,,,0.0,0.4944182053298483,0.9101170203644188,,1.0,,4245.6959,,6.110006846970645e-05,1240744202.0,36500.0,,1240744202.0,,6.75856011,,,,,,1240744202.0,142832860000,1240744202.0,4665,9314,183581144.86639383,,99231.98706314,,17905.62153003,,924246727.5060402,,,,
2013-12-09,10863,1611240186,1526,2759110,1808.06684142,,,0.0,2.376903574167748,0.8182732199443276,,1.0,,7641.85360106,,0.0001803068457897069,761942868.0,13886.799855000001,,761942868.0,,3.05632794,,,,,,2002687070.0,142848120000,2002687070.0,9339,18696,655259222.1433651,,129690.22282282,,27823.36316419,,2424688405.8955164,,,,
2013-12-10,12132,1611240187,1417,2971715,2097.18772054,,,0.0,3.361733388588552,0.5797513762349349,,1.0,,5478.65050542,,0.00023679865788141588,710930177.0,9562.495205,,710930177.0,,3.41312851,,,,,,2713617247.0,142862290000,2713617247.0,9450,18999,795052760.3504853,,129582.38783185,,20703.72897466,,2461935786.417321,,,,
2013-12-11,43044,1611240187,1575,8431778,5353.50984127,,,0.0,5.0929805153333625,0.0988977986795167,,0.0001,,2863.19016957,,0.0003987481595511826,770966106.0,8075.646535,,770966106.0,,2.32270357,,,,,,3484583353.0,142878040000,3484583353.0,28951,56999,1500227319.3798628,,76269.77195587,,1752.57306918,,4347300731.7126255,,,,
2013-12-12,61432,1611240187,1460,13549784,9280.673972600001,,,0.0,7.277435614588903,0.021665208308420232,,0.0001,,954.04911307,,0.0005281743984556864,698818257.0,6097.15929,,698818257.0,,3.12941679,,,,,,4183401610.0,142892650000,4183401610.0,44036,84256,1336799121.3988314,,64637.40539042,,833.6768943,,5446089228.575407,,,,
2013-12-13,64759,1611240187,1590,14896480,9368.85534591,,,0.0,9.754230777924349,0.04052216897920333,,0.0001,,2052.73151398,,0.0007709678527803997,787422756.0,5781.9244850000005,,787422756.0,,2.55321802,,,,,,4970824366.0,142908540000,4970824366.0,50657,99546,1946885983.0113888,,92225.53629713,,2162.01067721,,9180683236.23459,,,,
2013-12-14,98292,1611240187,1555,24502291,15757.10032154,,,0.0,17.83852464871395,0.021442023969701008,,0.0001,,1724.45333574,,0.0013789084879780767,776751325.0,4932.762205,,776751325.0,,2.68678528,,,,,,5747575691.0,142924090000,5747575691.0,80424,159352,2139201720.830256,,69981.14682193,,619.6235807999999,,11151635708.36834,,,,
2013-12-15,157712,1611240187,1670,40722710,24384.85628743,,,0.0,36.86330359437083,3.0948651547339003,,0.0001,,399098.33602844,,0.0030602495510621648,834560247.0,4627.8974149999995,,834560247.0,,1.9177214,,,,,,6582135938.0,142940790000,6582135938.0,128955,253732,3432269123.9199758,,106827.89069792,,369.05944254,,27105654362.56388,,,,
2013-12-16,127087,1611240188,1545,30370178,19657.07313916,,,0.0,81.5244964710672,41.08415822169882,,0.0001,,3890423.27864672,,0.006261274263039654,791014644.0,3915.8342450000005,,791014644.0,,3.33711792,,,,,,7373150582.0,142956240000,7373150582.0,94694,184142,2209436635.227116,,389861.31626034,,200.0,,71789842498.81204,,,,
2013-12-17,131166,1611240188,1444,26736025,18515.25277008,,,0.0,107.79927095351931,0.0040473521736116005,,0.0001,,374.49340192,,0.007738007311266713,707277501.0,3194.834415,,707277501.0,,2.98305356,,,,,,8080428083.0,142970680000,8080428083.0,92528,183302,2708777405.607028,,67876.47965869,,119.88971423,,12441894474.3972,,,,
2013-12-18,134838,1611240188,1493,29189764,19551.08104488,,,0.0,135.9522466470607,0.05449120319961885,,0.0001,,5188.43440385,,0.010090026696505891,739786847.0,3061.40173,,739786847.0,,2.80978559,,,,,,8820214930.0,142985610000,8820214930.0,95216,189745,3139106046.3439674,,74798.61710881,,471.06001312,,14192663603.311125,,,,
2013-12-19,248993,1611240188,1581,60808521,38462.0626186,,,0.0,215.99691078866695,0.024357690124538683,,0.0001,,4689.41557583,,0.016975615450339748,771582898.0,2936.131175,,771582898.0,,2.16716894,,,,,,9591797828.0,143001420000,9591797828.0,192523,391289,4425957584.521971,,70647.58279704,,358.98597232,,27643622025.072094,,,,
2013-12-20,255225,1611240188,1494,62215562,41643.61579652,,,0.0,332.26826152457335,0.0070646614388953435,,0.0001,,1412.57905471,,0.024676614435413732,758765431.0,2675.69382,,758765431.0,,4.0475547999999995,,,,,,10350563259.0,143016360000,10350563259.0,199950,514186,2557238572.5719557,,85827.32364555,,135.09900551,,44131208236.009926,,,,
2013-12-21,226438,1611240188,1418,49588061,34970.42383639,,,0.0,349.595069608834,0.011006924293534007,,0.0001,,1842.71322368,,0.024642663613107987,726686334.0,2394.461685,,726686334.0,,4.33210121,,,,,,11077249593.0,143030540000,11077249593.0,167414,334202,2557015419.1432176,,119406.36796316,,1500.0,,39905846986.02514,,,,
2013-12-22,210197,1611240189,1393,45628001,32755.20531228,,,0.0,327.9807277748661,0.008480596471003465,,0.0001,,1341.83389603,,0.022711486502537976,700004797.0,2169.450865,,700004797.0,,4.54505395,,,,,,11777254390.0,143044470000,11777254390.0,158224,315916,2591224335.665706,,120305.70277466,,1921.26375578,,38006496397.75856,,,,
2013-12-23,197803,1611240189,1480,41837129,28268.33040541,,,0.0,321.1956551541698,0.008283877266712397,,0.0001,,1234.36398376,,0.02363074947993739,734348244.0,2142.3083699999997,,734348244.0,,4.83055566,,,,,,12511602634.0,143059270000,12511602634.0,149008,305347,2590095944.8240867,,133311.18427016,,1859.29608471,,40706170183.33905,,,,
2013-12-24,176977,1611240189,1458,38892970,26675.56241427,,,0.0,398.55551727593394,0.008619097171918302,,0.0001,,1089.82450371,,0.028886336645745924,727433683.0,2005.53338,,727433683.0,,3.72385267,,,,,,13239036317.0,143073850000,13239036317.0,126443,249049,3555198739.136468,,130282.15046781,,2996.27991892,,32446639291.85653,,,,
2013-12-25,244147,1611240189,1470,39518980,26883.65986395,,,0.0,441.60232973219877,0.006525782937541385,,0.0001,,855.74549395,,0.032269691193688506,730638124.0,1909.013145,,730638124.0,,4.63634781,,,,,,13969674441.0,143088550000,13969674441.0,131133,325089,3013077318.288709,,110718.62748211,,1131.537,,35993407889.53109,,,,
2013-12-26,286503,1611240189,1429,68392091,47860.105668300006,,,0.0,431.82557561799524,0.11763908588812265,,0.0001,,14802.29089914,,0.03067515092382806,713324497.0,1771.518375,,713324497.0,,6.25581631,,,,,,14697192103.987093,143102850000,14697192103.987093,125828,1222909,2349364394.1556673,,26235.33591471,,1e-08,,32083428408.120583,,,,
2013-12-27,173620,1611240189,1373,37771678,27510.32629279,,,0.0,426.6488248755471,0.3538962487034505,,0.0001,,47260.01284438,,0.029119721011132662,683197526.0,1622.8290550000002,,683197526.0,,6.09188052,,,,,,15366196464.0,143116570000,15366196464.0,133542,265389,2522406078.256489,,119462.24535989,,2000.0,,31703965833.815758,,,,
2013-12-28,149526,1611240189,1444,31799281,22021.66274238,,,0.0,437.55236311558906,0.33993365913557555,,0.0001,,38676.29200181,,0.031408221548273094,718112583.0,1629.60747,,718112583.0,,6.48105722,,,,,,16084309047.0,143131010000,16084309047.0,113776,225773,2481741557.645594,,135539.32167106,,4497.33146308,,30601119271.640396,,,,
2013-12-29,160057,1611240190,1423,33037206,23216.5888967,,,0.0,385.1654562868417,0.3196208884376347,,0.0001,,37271.63104249,,0.02724572376738639,717340085.0,1558.35363,,717340085.0,,6.21055844,,,,,,16801649132.0,143145240000,16801649132.0,116612,243359,2705336290.908959,,118894.14567453,,2344.22203209,,28933960397.207943,,,,
2013-12-30,157988,1611240190,1412,33722860,23883.04532578,,,0.0,364.30478763688535,0.475174317103357,,0.0001,,58368.51241573,,0.025570881179761886,708484813.0,1476.84183,,708484813.0,,6.38249374,,,,,,17510133945.0,143159360000,17510133945.0,122836,243071,2743462768.2563934,,128460.56965879,,5201.7400029,,31225039127.531265,,,,
2013-12-31,141755,1611240190,1422,30123830,21184.12798875,,,0.0,345.96067162944763,0.4915037976666819,,0.0001,,53396.48107472,,0.02445526913702149,703929399.0,1409.84316,,703929399.0,,5.82191311,,,,,,18224314571.49381,143173590000,18224314571.49381,108639,217206,3130296559.2594905,,136664.02047109,,5407.40045808,,29684245230.44356,,,,
2014-01-01,142092,1611240190,1453,30408529,20928.09979353,,,0.0,357.2640607126627,0.5074486100058538,,0.01013265,,56073.07140566,,0.025804833619515112,743166326.0,1430.88249,,743166326.0,,6.13050485,,,,,,18957229670.0,143188110000,18957229670.0,110500,217461,3092278718.2413664,,147422.36352277,,5662.08700128,,32058614594.024303,,,,
