date,AdrActCnt,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2011-10-07,0,1614335638,0,0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0,0,0.0,,,,,,,,,,
2011-10-08,2,1614335638,2,430,215.0,,,0.0,0.000244140625,,,,,0.0,,2.4272592592592602e-11,100.0,36500.0,,100.0,,,,,,,,100.0,68280037.5,100.0,0,0,0.0,,,,,,,,,,
2011-10-09,0,1614335638,0,0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,100.0,,100.0,0,0,0.0,,,,,,,,,,
2011-10-10,0,1614335639,0,0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,100.0,,100.0,0,0,0.0,,,,,,,,,,
2011-10-11,0,1614335639,0,0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,100.0,,100.0,0,0,0.0,,,,,,,,,,
2011-10-12,2,1614335639,2,430,215.0,,,0.0,0.000244140625,,,,,0.0,,2.4272592592592602e-11,100.0,18250.0,,100.0,,,,,,,,200.0,68280062.5,200.0,0,0,0.0,,,,,,,,,,
2011-10-13,9778,1614335639,9685,2189503,226.07155394940602,,,0.0,0.0037411589804262203,1.0869565217391302e-05,,0.0,,0.001,,1.8011583996250199e-06,484250.0,36484.931365466,,484250.0,,11.85982497,,,,,,484450.0,68401125.0,484450.0,92,144,40847.989,,306.94081597222197,,50.0,,44199.4775,,,,
2011-10-14,1531,1614335639,1122,295956,263.775401069519,,,0.0,0.04620655080213901,3.2258064516129e-05,,0.0,,0.002,,2.57716679111111e-06,56100.0,3788.08620849135,,56100.0,,24.28128967,,,,,,540550.0,68415150.0,540550.0,62,86,22261.99708938,,261.841633528023,,50.0,,22518.38048341,,,,
2011-10-15,1514,1614335640,762,313095,410.88582677165397,,,0.0,0.0625,0.000178571428571429,,0.0,,0.08,,2.36745159111111e-06,38100.0,2403.2662231055,,38100.0,,22.31618836,,,,,,578650.0,68424675.0,578650.0,448,870,25929.60726894,,35.457643664620704,,12.179440715,,30848.14998822,,,,
2011-10-16,4843,1614335640,915,925038,1010.9704918032801,,,0.0,0.0744594963394304,0.0006402767492917849,,0.0,,0.90407077,,3.38678250016035e-06,45750.0,2674.3673926969896,,45750.0,,3.53982218,,,,,,624400.0,68436112.5,624400.0,1412,2756,176393.04139337,,72.26618337187591,,9.802898595,,199165.60137289,,,,
2011-10-17,3150,1614335640,773,766661,991.799482535576,,,0.0,0.0903446288818814,0.000224510969162996,,0.0,,0.35674793,,3.4715861807904297e-06,38650.0,2127.62989216499,,38650.0,,9.83867714,,,,,,663050.0,68445775.0,663050.0,1589,3100,67392.19008742,,29.634459524225804,,9.85572401,,91866.8245251,,,,
2011-10-18,3743,1614335640,826,834230,1009.96368038741,,,0.0,0.0903446288818813,0.00022538449546827797,,0.0,,0.37301134,,3.7096121414397002e-06,41300.0,2140.20018456733,,41300.0,,5.17159236,,,,,,704350.0,68456100.0,704350.0,1655,3276,136195.96259041,,49.7243382228907,,10.512223195,,162896.93201819,,,,
2011-10-19,2625,1614335640,643,702199,1092.06687402799,,,0.0,0.124707431528227,0.00022792368534482797,,0.0,,0.31726977,,3.9861113496337605e-06,32150.0,1593.31296673456,,32150.0,,12.37489353,,,,,,736500.0,68464137.5,736500.0,1392,2750,59515.66354663,,31.1441954781818,,10.485045705,,85646.53756499999,,,,
2011-10-20,3722,1614335641,759,851988,1122.51383399209,,,0.0,0.1260397534402,0.000173829792802617,,0.0,,0.31880384,,4.75549182682138e-06,37950.0,1788.59190393182,,37950.0,,9.093334800000001,,,,,,774450.0,68473625.0,774450.0,1834,3629,85166.77509975,,32.163951235549696,,10.373948,,116722.97903381,,,,
2011-10-21,3187,1614335641,831,792899,954.150421179302,,,0.0,0.135786062166215,0.000180407308146399,,0.0,,0.30560998,,5.60921822441165e-06,41550.0,1858.5477941176503,,41550.0,,12.41717736,,,,,,816000.0,68484012.5,816000.0,1694,3356,65715.41794114,,27.615723228551804,,8.641433665,,92678.36715502,,,,
2011-10-22,2869,1614335641,728,739364,1015.60989010989,,,0.0,0.168004429871899,0.000325750751677852,,0.0,,0.48536862,,6.0799251297543294e-06,36400.0,1558.6579070858802,,36400.0,,8.30768634,,,,,,852400.0,68493112.5,852400.0,1490,2948,102603.77737522,,46.3187269173982,,10.22972091,,136547.60695249,,,,
2011-10-23,3156,1614335641,828,762964,921.4541062801931,,,0.0,0.168004429871899,0.000272755806654112,,0.0,,0.4345,,6.91507968054476e-06,41400.0,1690.64667710897,,41400.0,,8.48830367,,,,,,893800.0,68503462.5,893800.0,1593,3162,105297.83508556,,40.3402987812777,,10.351710545,,127556.0247464,,,,
2011-10-24,2671,1614335641,596,630532,1057.93959731544,,,0.0,0.19683375272551198,0.00023670097697138902,,0.0,,0.3391925,,5.83165671643745e-06,29800.0,1177.6743178865302,,29800.0,,14.6979864,,,,,,923600.0,68510912.5,923600.0,1433,2833,62838.5395532,,29.140035866336003,,9.16042855,,82553.72160933,,,,
2011-10-25,2407,1614335642,523,571836,1093.37667304015,,,0.0,0.22023019406872,0.000187101910828025,,0.0,,0.235,,5.72564831740893e-06,26150.0,1004.97499341932,,26150.0,,12.84061973,,,,,,949750.0,68517450.0,949750.0,1256,2491,73964.49859642,,39.592241863621,,9.17553841,,98624.27448228,,,,
2011-10-26,4208,1614335642,577,866953,1502.51819757366,,,0.0,0.22023019406872,0.000247895503816794,,0.0,,0.32474311,,6.3168242431069805e-06,28850.0,1076.0525240139,,28850.0,,6.19594605,,,,,,978600.0,68524662.5,978600.0,1310,2593,157941.98217642,,72.5371166279021,,8.3392925,,188088.74341615,,,,
2011-10-27,1877,1614335642,427,448357,1050.01639344262,,,0.0,0.22023019406872,0.000152340010570825,,0.0,,0.14411365,,4.67466889394573e-06,21350.0,779.3139656982851,,21350.0,,18.06484449,,,,,,999950.0,68530000.0,999950.0,946,1853,55353.36883792,,36.7030555057474,,8.2886569,,68010.76185215,,,,
2011-10-28,2639,1614335642,451,703604,1560.0975609756101,,,0.0,0.19937175838571203,0.000195736007142857,,0.0,,0.27403041,,4.4697815635150995e-06,22550.0,804.963325183374,,22550.0,,13.36453545,,,,,,1022500.0,68535637.5,1022500.0,1400,2767,76508.45806221,,34.628743478095394,,9.60939409,,95817.73320389,,,,
2011-10-29,2902,1614335642,580,778945,1343.0086206896601,,,0.0,0.187903202683715,0.000465826108506363,,0.0,,0.69547838,,5.41761694441348e-06,29000.0,1006.65715644318,,29000.0,,11.40696901,,,,,,1051500.0,68542887.5,1051500.0,1493,2946,92180.49063684,,39.6436855621283,,9.012940765,,116790.29766603,,,,
