date,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2014-04-18,1614335377,885,332259,375.433898305085,,56163.1423728814,1.114611e-06,,1e-06,,4.458444e-06,,468.02618644067803,15562.5089059084,36500.0,,15562.5089059084,,,,,,15562.508905908397,18428477.759906635,15562.508905908397,4,28,,,
2014-04-19,1614335377,1356,641393,473.003687315634,,69769.4033923304,1.3033529999999999e-06,,1e-06,,1.4336883e-05,,581.4116949360871,23801.3951725352,22069.734802379,,23801.3951725352,,,,,,39363.90407844364,18428884.250749186,39363.90407844364,11,74,,,
2014-04-20,1614335377,1641,659774,402.05606337599,,84092.5301645338,1.04617e-06,,1.031781e-06,,4.18468e-06,,700.771084704449,28784.4066140768,15416.8288360685,,28784.4066140768,,,,,,68148.31069252045,18429376.24645078,68148.31069252045,4,35,,,
2014-04-21,1614335377,1639,636743,388.49481391092104,,117482.11531421599,1.03333333333333e-06,,1e-06,,3.1e-05,,979.0176276184669,28704.2102629639,10817.515788564,,28704.2102629639,,,,,,96852.52095548438,18429868.238975406,96852.52095548438,30,191,,,
2014-04-22,1614335377,1470,679633,462.33537414965997,,238052.536054422,1.2647648846153799e-06,,1.0629755e-06,,6.576777399999999e-05,,1983.77113378685,25691.390029138398,7652.24260046035,,25691.390029138398,,,,,,122543.91098462285,18430308.97572383,122543.91098462285,52,348,,,
2014-04-23,1614335377,1509,854872,566.515573227303,,255662.59907223302,1.31519370967742e-06,,1e-06,,4.0771005e-05,,2130.5216589352804,26319.9130692,6453.393449562739,,26319.9130692,,,,,,148863.82405382287,18430760.83606751,148863.82405382287,31,192,,,
2014-04-24,1614335378,1445,600547,415.603460207612,,273815.853979239,1.3534702500000001e-06,,1.1127084999999999e-06,,1.6241642999999998e-05,,2281.79878316032,25198.187129512004,5283.94348643057,,25198.187129512004,,,,,,174062.0111833349,18431194.635650437,174062.0111833349,12,96,,,
2014-04-25,1614335378,1449,1928254,1330.7481021394099,,302515.096618357,1.17239124050633e-06,,1e-06,,9.261890799999999e-05,,2520.95913848631,24884.486837869903,4565.4674931018,,24884.486837869903,,,,,,198946.4980212048,18431623.025542233,198946.4980212048,79,594,,,
2014-04-26,1614335378,1540,920395,597.659090909091,,332938.176623377,1.38450319047619e-06,,1.423198e-06,,2.9074567e-05,,2774.48480519481,26758.324800306,4327.23963538668,,26758.324800306,,,,,,225704.82282151078,18432084.64918525,225704.82282151078,21,155,,,
2014-04-27,1614335378,1533,1849742,1206.61578604044,,424868.539465101,1.21494309836066e-06,,1e-06,,7.4111529e-05,,3540.57116220918,26382.7361274698,3819.98172645855,,26382.7361274698,,,,,,252087.5589489805,18432540.75751351,252087.5589489805,61,462,,,
2014-04-28,1614335378,1440,4212750,2925.5208333333303,,521936.94513888896,1.17701290217391e-06,,1e-06,,0.00021657037400000002,,4349.47454282407,24336.6838257863,3213.4987536711305,,24336.6838257863,,,,,,276424.24277476687,18432961.803098105,276424.24277476687,184,1330,,,
2014-04-29,1614335378,1522,1862334,1223.60972404731,,631001.9973718789,1.07261316129032e-06,,1e-06,,6.6502016e-05,,5258.34997809899,26118.174545691298,3151.007317787,,26118.174545691298,,,,,,302542.4173204581,18433414.29782998,302542.4173204581,62,477,,,
2014-04-30,1614335378,1414,814140,575.7708628005661,,603804.636492221,1.1507978974358998e-06,,1e-06,,4.4881117999999995e-05,,5031.70530410184,24407.160068959798,2724.7667656592803,,24407.160068959798,,,,,,326949.5773894179,18433837.738542683,326949.5773894179,39,316,,,
2014-05-01,1614335378,1445,926068,640.8775086505191,,653168.906574394,1.34328529032258e-06,,1.1790779999999999e-06,,4.1641844e-05,,5443.07422145329,24914.67291904,2584.478419583,,24914.67291904,,,,,,351864.250308458,18434270.272805214,351864.250308458,31,217,,,
2014-05-02,1614335378,1507,1451275,963.022561380226,,685280.300597213,1.2514618793103398e-06,,1.0392415e-06,,7.2584789e-05,,5710.66917164344,25829.426174615,2496.13407391982,,25829.426174615,,,,,,377693.676483073,18434719.928414248,377693.676483073,58,454,,,
2014-05-03,1614335378,1572,1227309,780.7309160305341,,984977.91221374,1.2684282199999999e-06,,1e-06,,6.3421411e-05,,8208.14926844784,26972.856980330496,2432.89028958234,,26972.856980330496,,,,,,404666.53346340335,18435189.862485744,404666.53346340335,50,368,,,
2014-05-04,1614335379,1581,3363456,2127.4231499051198,,1232411.89247312,1.17584468548387e-06,,1e-06,,0.000145804741,,10270.0991039427,26604.364831441202,2251.62263483803,,26604.364831441202,,,,,,431270.89829484466,18435653.765238684,431270.89829484466,124,936,,,
2014-05-05,1614335379,1625,2236580,1376.3569230769199,,2129424.23569231,1.29127743010753e-06,,1.108276e-06,,0.000120088801,,17745.2019641026,27695.381950477098,2202.51788574117,,27695.381950477098,,,,,,458966.28024532174,18436138.033280894,458966.28024532174,93,723,,,
2014-05-06,1614335379,1737,3986191,2294.87104202648,,3528827.6378813996,1.18826898895028e-06,,1e-06,,0.000215076687,,29406.896982345,29218.9546337436,2184.60487522904,,29218.9546337436,,,,,,488185.2348790655,18436649.133715924,488185.2348790655,181,1389,,,
2014-05-07,1614335379,1272,1530329,1203.08883647799,,7793570.86084906,1.27700476923077e-06,,1.1286455e-06,,6.6404248e-05,,64946.423840408796,21600.9221066173,1546.59683494245,,21600.9221066173,,,,,,509786.1569856828,18437027.73587963,509786.1569856828,52,414,,,
2014-05-08,1614335379,1477,918663,621.9790115098169,,5896073.6858497,1.27732840740741e-06,,1.0061060000000002e-06,,3.4487867e-05,,49133.9473820808,25209.135222738998,1719.89071498504,,25209.135222738998,,,,,,534995.2922084217,18437470.456625808,534995.2922084217,27,202,,,
2014-05-09,1614335379,1548,2555204,1650.64857881137,,7012152.68087855,1.37775926923077e-06,,1.331354e-06,,0.00025075218700000004,,58434.6056739879,25923.6843731651,1686.9004600041299,,25923.6843731651,,,,,,560918.9765815869,18437926.06759102,560918.9765815869,182,1366,,,
2014-05-10,1614335379,1505,2068910,1374.6910299003302,,8317205.65847176,1.37171635416667e-06,,1.344174e-06,,0.00019752715499999997,,69310.0471539313,25377.0578119569,1579.8548101976198,,25377.0578119569,,,,,,586296.0343935438,18438372.411618873,586296.0343935438,144,1109,,,
2014-05-11,1614335379,1458,2728369,1871.3093278463602,,10448040.674897099,1.38321664925373e-06,,1.310285e-06,,0.000185351031,,87067.0056241427,24454.0394318794,1461.43648198515,,24454.0394318794,,,,,,610750.0738254233,18438803.41105783,610750.0738254233,134,1001,,,
2014-05-12,1614335379,1436,5515018,3840.54178272981,,10550651.597492998,1.35173388967972e-06,,1.2801089999999999e-06,,0.00037983722300000003,,87922.09664577531,23880.5763741028,1373.46192999142,,23880.5763741028,,,,,,634630.6501995259,18439224.873959344,634630.6501995259,281,2028,,,
2014-05-13,1614335379,1573,2520551,1602.38461538462,,11670863.0820089,1.24086733576642e-06,,1e-06,,0.000169998825,,97257.1923500742,26342.7693005829,1454.68947934164,,26342.7693005829,,,,,,660973.4195001088,18439690.74749164,660973.4195001088,137,1052,,,
2014-05-14,1614335380,1495,1642226,1098.4789297658901,,17186615.6755853,1.3098812211538499e-06,,1.1716530000000001e-06,,0.00013622764699999998,,143221.797296544,25184.102209602002,1339.66283479636,,25184.102209602002,,,,,,686157.5217097108,18440136.18830674,686157.5217097108,104,815,,,
2014-05-15,1614335380,1431,2524727,1764.3095737246697,,16816771.9867226,1.25154747107438e-06,,1.042706e-06,,0.00015143724399999998,,140139.766556021,23833.973009604102,1225.2823045358698,,23833.973009604102,,,,,,709991.494719315,18440558.915306587,709991.494719315,121,898,,,
2014-05-16,1614335380,1664,2329739,1400.08353365385,,23279618.1983173,1.2521044529914498e-06,,1.026486e-06,,0.000146496221,,193996.81831931102,27769.117386759102,1373.85049836596,,27769.117386759102,,,,,,737760.6121060739,18441051.804305904,737760.6121060739,117,945,,,
2014-05-17,1614335380,1520,3415261,2246.88223684211,,36316493.7263158,2.57548939555556e-06,,1e-06,,0.000579485114,,302637.447719298,25057.2646575519,1198.9626722972698,,25057.2646575519,,,,,,762817.8767636258,18441497.222985987,762817.8767636258,225,2964,,,
2014-05-18,1614335380,1399,1558154,1113.76268763402,,41926663.111508206,2.65087456140351e-06,,1.268066e-06,,0.00030219970000000003,,349388.859262569,23455.753622123902,1088.85122700541,,23455.753622123902,,,,,,786273.6303857497,18441914.445443742,786273.6303857497,114,5427,,,
2014-05-19,1614335380,1547,6339589,4097.98901098901,,45051814.122818395,1.32492332172131e-06,,1.2340925e-06,,0.000646562581,,375431.78435682,25285.879330723998,1137.2358829161699,,25285.879330723998,,,,,,811559.5097164739,18442365.466505036,811559.5097164739,488,10852,,,
