date,AdrActCnt,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2013-01-01,0,1613989843,4164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999999999.99623,99999999999.99623,2892340297.9983,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02,10,1613989955,4703,0.0,1e-05,0.0,1e-05,0.0,0.00018,0.0,9940.357852882313,0.0,0.0,0.0,0.0,0.0,99999999999.99606,99999999999.99606,2902400297.99817,18,3,10060000.0,0.0,3353333.33333333,0.0,50000.0,0.0,10060000.0,0.0,0.0,0.0,0.0
2013-01-03,8,1613990481,4780,0.0,1e-05,0.0,1e-05,0.0,0.0001,0.0,2421307.5060531707,0.0,0.0,0.0,0.0,0.0,99999999999.99596,99999999999.99596,2902441297.99814,10,6,41300.0,0.0,6883.33333333,0.0,10000.0,0.0,41300.0,0.0,0.0,0.0,0.0
2013-01-04,9,1613990595,4024,0.0,1e-05,0.0,1e-05,0.0,0.00018999999999999998,0.0,142628.30115639657,0.0,0.0,0.0,0.0,0.0,99999999999.99576,99999999999.99576,2903141174.874544,19,6,701123.123456,0.0,116853.85390933,0.0,10000.0,0.0,701123.123456,0.0,0.0,0.0,0.0
2013-01-05,12,1613990676,3201,0.0,1e-05,0.0,1e-05,0.0,0.00025,0.0,9344047.841524528,0.0,0.0,0.0,0.0,0.0,99999999999.99553,99999999999.99553,2903151474.874384,25,5,10702.0,0.0,2140.4,0.0,200.0,0.0,10702.0,0.0,0.0,0.0,0.0
2013-01-06,9,1613990752,4360,0.0,1e-05,0.0,1e-05,0.0,0.00039,0.0,9174311.926605057,0.0,0.0,0.0,0.0,0.0,99999999999.99513,99999999999.99513,2903162374.874084,39,6,10900.0,0.0,1825.0,0.0,300.0,0.0,10950.0,0.0,0.0,0.0,0.0
2013-01-07,9,1613990837,2819,0.0,1e-05,0.0,1e-05,0.0,0.00016999999999999999,0.0,8695652.173912605,0.0,0.0,0.0,0.0,0.0,99999999999.99496,99999999999.99496,2903173374.873954,17,3,11500.0,0.0,3833.33333333,0.0,1000.0,0.0,11500.0,0.0,0.0,0.0,0.0
2013-01-08,16,1613990950,3327,0.0,1e-05,0.0,1e-05,0.0,0.00093,0.0,552950.5441033024,0.0,0.0,0.0,0.0,0.0,99999999999.99403,99999999999.99403,2903353684.873334,93,15,180848.0,0.0,12056.53333333,0.0,200.0,0.0,180848.0,0.0,0.0,0.0,0.0
2013-01-09,21,1613991025,4324,0.0,1e-05,0.0,1e-05,0.0,0.00049,0.0,104056.97327400025,0.0,0.0,0.0,0.0,0.0,99999999999.99353,99999999999.99353,2903363693.873084,49,14,961012.0,0.0,68643.71428571,0.0,10000.0,0.0,961012.0,0.0,0.0,0.0,0.0
2013-01-10,24,1613991108,4447,0.0,1e-05,0.0,1e-05,0.0,0.00091,0.0,139684.31345158909,0.0,0.0,0.0,0.0,0.0,99999999999.99263,99999999999.99263,2903563693.872344,91,23,715900.0,0.0,31126.08695652,0.0,10000.0,0.0,715900.0,0.0,0.0,0.0,0.0
2013-01-11,14,1613991197,4428,0.0,1e-05,0.0,1e-05,0.0,0.00021,0.0,3447562.5732604438,0.0,0.0,0.0,0.0,0.0,99999999999.99243,99999999999.99243,2903583694.872184,21,5,29006.0,0.0,5801.2,0.0,9000.0,0.0,29006.0,0.0,0.0,0.0,0.0
